,school,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,health,absences,G1,G2,G3,non_study_time,grade,GPA,Alcohol_Consumption,Parental_Education,age_standardized,studytime_standardized,GPA_standardized,absences_standardized,sex_M
0,GP,18,U,GT3,A,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,6,5,6,6,4,E,4,1,4,1.0217506382926023,-0.042232285573419244,-1.3675507666531237,0.03637832807313696,0
1,GP,17,U,GT3,T,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,4,5,5,6,3,E,4,1,1,0.23807781863128694,-0.042232285573419244,-1.3675507666531237,-0.21352496912493457,0
2,GP,15,U,LE3,T,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,10,7,8,10,2,D,5,2,1,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,0.5361849224692801,0
3,GP,15,U,GT3,T,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,5,2,15,14,15,2,B,7,1,3,-1.3292678206913437,1.1493214859623315,0.8554227017747934,-0.4634282663230061,0
4,GP,16,U,GT3,T,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,5,4,6,10,10,2,D,5,2,3,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,-0.21352496912493457,0
5,GP,16,U,LE3,T,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,10,15,15,15,3,B,7,2,4,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,0.5361849224692801,1
6,GP,16,U,LE3,T,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,3,0,12,12,11,4,C,6,1,2,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,1
7,GP,17,U,GT3,A,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,6,6,5,6,2,E,4,1,4,0.23807781863128694,-0.042232285573419244,-1.3675507666531237,0.03637832807313696,0
8,GP,15,U,LE3,A,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,1,0,16,18,19,2,AB,8,1,2,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.7133315635210776,1
9,GP,15,U,GT3,T,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,0,14,15,15,3,B,7,1,4,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,1
10,GP,15,U,GT3,T,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,2,0,10,8,9,3,D,5,2,4,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,-0.7133315635210776,0
11,GP,15,U,GT3,T,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,4,4,10,12,12,2,C,6,1,2,-1.3292678206913437,1.1493214859623315,0.11443154563215434,-0.21352496912493457,0
12,GP,15,U,LE3,T,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,5,2,14,14,14,3,B,7,2,4,-1.3292678206913437,-1.23378605710917,0.8554227017747934,-0.4634282663230061,1
13,GP,15,U,GT3,T,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,3,2,10,10,11,4,C,6,2,4,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.4634282663230061,1
14,GP,15,U,GT3,A,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,3,0,14,16,16,4,B,7,1,2,-1.3292678206913437,1.1493214859623315,0.8554227017747934,-0.7133315635210776,1
15,GP,16,U,GT3,T,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,2,4,14,14,14,4,B,7,2,4,-0.5455950010300283,-1.23378605710917,0.8554227017747934,-0.21352496912493457,0
16,GP,16,U,GT3,T,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,6,13,14,14,2,B,7,2,4,-0.5455950010300283,1.1493214859623315,0.8554227017747934,0.03637832807313696,0
17,GP,16,U,GT3,T,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,4,4,8,10,10,2,D,5,1,3,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,-0.21352496912493457,0
18,GP,17,U,GT3,T,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,16,6,5,5,5,E,4,3,2,0.23807781863128694,-1.23378605710917,-1.3675507666531237,1.2858948140634945,1
19,GP,16,U,LE3,T,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,5,4,8,10,10,2,D,5,2,4,-0.5455950010300283,-1.23378605710917,-0.6265596105104847,-0.21352496912493457,1
20,GP,15,U,GT3,T,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,1,0,13,14,15,2,B,7,1,4,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,1
21,GP,15,U,GT3,T,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,5,0,12,15,15,3,B,7,1,4,-1.3292678206913437,-1.23378605710917,0.8554227017747934,-0.7133315635210776,1
22,GP,16,U,LE3,T,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,2,15,15,16,3,B,7,2,3,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,-0.4634282663230061,1
23,GP,16,U,LE3,T,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,5,0,13,13,12,4,B,7,3,2,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,1
24,GP,15,R,GT3,T,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,5,2,10,9,8,2,D,5,1,3,-1.3292678206913437,1.1493214859623315,-0.6265596105104847,-0.4634282663230061,0
25,GP,16,U,GT3,T,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,5,14,6,9,8,2,D,5,2,2,-0.5455950010300283,-1.23378605710917,-0.6265596105104847,1.035991516865423,0
26,GP,15,U,GT3,T,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,5,2,12,12,11,2,C,6,2,2,-1.3292678206913437,-1.23378605710917,0.11443154563215434,-0.4634282663230061,1
27,GP,15,U,GT3,T,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,1,4,15,16,15,3,B,7,3,3,-1.3292678206913437,-1.23378605710917,0.8554227017747934,-0.21352496912493457,1
28,GP,16,U,LE3,A,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,5,4,11,11,11,3,C,6,1,4,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,-0.21352496912493457,1
29,GP,16,U,GT3,T,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,5,16,10,12,11,4,C,6,5,4,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,1.2858948140634945,1
30,GP,15,U,GT3,T,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,5,0,9,11,12,3,C,6,4,4,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,1
31,GP,15,U,GT3,T,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,5,0,17,16,17,2,AB,8,1,4,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.7133315635210776,1
32,GP,15,R,GT3,T,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,0,17,16,16,4,AB,8,1,4,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.7133315635210776,1
33,GP,15,U,LE3,T,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,2,0,8,10,12,2,C,6,1,3,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,1
34,GP,16,U,GT3,T,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,5,0,12,14,15,4,B,7,1,2,-0.5455950010300283,-1.23378605710917,0.8554227017747934,-0.7133315635210776,1
35,GP,15,U,GT3,T,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,0,8,7,6,3,D,5,1,2,-1.3292678206913437,-1.23378605710917,-0.6265596105104847,-0.7133315635210776,0
36,GP,15,U,LE3,T,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,2,15,16,18,4,AB,8,1,4,-1.3292678206913437,1.1493214859623315,1.5964138579174325,-0.4634282663230061,1
37,GP,16,R,GT3,A,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,5,7,15,16,15,4,B,7,1,4,-0.5455950010300283,1.1493214859623315,0.8554227017747934,0.16132997667217272,1
38,GP,15,R,GT3,T,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,5,2,12,12,11,2,C,6,1,4,-1.3292678206913437,1.1493214859623315,0.11443154563215434,-0.4634282663230061,0
39,GP,15,R,GT3,T,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,2,8,14,13,13,2,B,7,1,2,-1.3292678206913437,-1.23378605710917,0.8554227017747934,0.2862816252712085,0
40,GP,16,U,LE3,T,other,other,home,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,25,7,10,11,3,D,5,2,2,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,2.4104596514548167,0
41,GP,15,U,LE3,T,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,5,8,12,12,12,4,C,6,3,4,-1.3292678206913437,-1.23378605710917,0.11443154563215434,0.2862816252712085,1
42,GP,15,U,GT3,T,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,5,2,19,18,18,3,AB,8,1,4,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.4634282663230061,1
43,GP,15,U,GT3,T,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,1,0,8,8,11,2,D,5,1,2,-1.3292678206913437,-1.23378605710917,-0.6265596105104847,-0.7133315635210776,1
44,GP,16,U,LE3,T,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,5,14,10,10,9,3,C,6,2,2,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,1.035991516865423,0
45,GP,15,U,LE3,A,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,5,8,8,8,6,2,D,5,1,4,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,0.2862816252712085,0
46,GP,16,U,LE3,A,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,12,11,12,11,4,C,6,2,3,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,0.7860882196673515,0
47,GP,16,U,GT3,T,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,4,19,19,20,2,A,10,1,4,-0.5455950010300283,2.3408752574980825,3.0783961702027107,-0.21352496912493457,1
48,GP,15,U,GT3,T,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,5,2,15,15,14,3,B,7,2,3,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.4634282663230061,1
49,GP,15,U,GT3,T,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,3,2,7,7,7,4,D,5,1,4,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,-0.4634282663230061,0
50,GP,16,U,LE3,T,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,4,2,12,13,13,3,B,7,2,2,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,-0.4634282663230061,0
51,GP,15,U,LE3,T,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,5,2,11,13,13,3,C,6,1,3,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.4634282663230061,0
52,GP,15,U,LE3,A,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,6,11,11,10,5,C,6,4,3,-1.3292678206913437,-1.23378605710917,0.11443154563215434,0.03637832807313696,1
53,GP,15,U,GT3,T,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,5,0,8,10,11,4,C,6,2,4,-1.3292678206913437,-1.23378605710917,0.11443154563215434,-0.7133315635210776,0
54,GP,15,U,LE3,A,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,1,6,10,13,13,4,C,6,4,3,-1.3292678206913437,-1.23378605710917,0.11443154563215434,0.03637832807313696,0
55,GP,16,U,GT3,A,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,2,8,8,9,10,4,D,5,1,2,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,0.2862816252712085,0
56,GP,15,U,GT3,A,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,1,0,14,15,15,2,B,7,1,4,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,0
57,GP,15,U,GT3,T,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,5,4,14,15,15,2,B,7,1,4,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.21352496912493457,1
58,GP,15,U,LE3,T,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,5,2,9,10,9,2,D,5,1,2,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,-0.4634282663230061,1
59,GP,16,U,GT3,T,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,5,2,15,16,16,2,AB,8,1,3,-0.5455950010300283,-0.042232285573419244,1.5964138579174325,-0.4634282663230061,0
60,GP,16,R,GT3,T,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,6,10,11,11,4,C,6,2,4,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,0.03637832807313696,0
61,GP,16,U,GT3,T,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,6,10,8,11,5,C,6,5,1,-0.5455950010300283,-1.23378605710917,0.11443154563215434,0.03637832807313696,0
62,GP,16,U,LE3,T,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,1,4,8,10,9,4,D,5,1,2,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,-0.21352496912493457,0
63,GP,16,U,GT3,T,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,2,10,9,9,4,D,5,3,4,-0.5455950010300283,1.1493214859623315,-0.6265596105104847,-0.4634282663230061,0
64,GP,15,U,LE3,T,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,2,0,10,10,10,4,C,6,3,4,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,0
65,GP,16,U,LE3,T,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,1,2,16,15,15,4,B,7,2,4,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,-0.4634282663230061,0
66,GP,15,U,GT3,A,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,4,13,13,12,3,B,7,5,4,-1.3292678206913437,2.3408752574980825,0.8554227017747934,-0.21352496912493457,1
67,GP,16,U,GT3,T,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,5,4,7,7,6,3,D,5,2,2,-0.5455950010300283,2.3408752574980825,-0.6265596105104847,-0.21352496912493457,0
68,GP,15,R,LE3,T,health,services,reputation,mother,2,2,0,1,1,1,0,1,1,1,0,4,4,2,8,9,8,2,D,5,2,2,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,-0.4634282663230061,0
69,GP,15,R,LE3,T,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,3,12,16,16,16,3,AB,8,2,2,-1.3292678206913437,2.3408752574980825,1.5964138579174325,0.7860882196673515,0
70,GP,16,U,GT3,T,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,5,0,13,15,15,2,B,7,1,2,-0.5455950010300283,2.3408752574980825,0.8554227017747934,-0.7133315635210776,1
71,GP,15,U,GT3,T,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,0,10,10,10,3,C,6,1,3,-1.3292678206913437,2.3408752574980825,0.11443154563215434,-0.7133315635210776,1
72,GP,15,R,GT3,T,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,5,2,8,6,5,4,E,4,3,1,-1.3292678206913437,-0.042232285573419244,-1.3675507666531237,-0.4634282663230061,0
73,GP,16,U,GT3,T,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,5,2,12,12,14,2,B,7,2,2,-0.5455950010300283,-1.23378605710917,0.8554227017747934,-0.4634282663230061,1
74,GP,16,U,GT3,T,other,services,home,mother,1,2,0,1,1,1,1,1,1,1,0,4,5,54,11,12,11,3,C,6,3,3,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,6.034057460826853,0
75,GP,15,U,GT3,T,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,5,6,9,9,10,3,D,5,2,4,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,0.03637832807313696,1
76,GP,15,U,GT3,T,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,1,8,11,11,10,4,C,6,1,2,-1.3292678206913437,2.3408752574980825,0.11443154563215434,0.2862816252712085,1
77,GP,16,U,GT3,T,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,3,0,11,11,11,2,C,6,2,2,-0.5455950010300283,2.3408752574980825,0.11443154563215434,-0.7133315635210776,0
78,GP,17,U,GT3,T,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,3,2,8,8,10,3,D,5,1,2,0.23807781863128694,-1.23378605710917,-0.6265596105104847,-0.4634282663230061,1
79,GP,16,U,GT3,T,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,12,5,5,5,4,E,4,2,4,-0.5455950010300283,-0.042232285573419244,-1.3675507666531237,0.7860882196673515,0
80,GP,15,U,GT3,T,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,3,2,10,12,12,2,C,6,2,2,-1.3292678206913437,-1.23378605710917,0.11443154563215434,-0.4634282663230061,1
81,GP,15,U,GT3,T,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,5,4,11,10,11,2,C,6,2,2,-1.3292678206913437,1.1493214859623315,0.11443154563215434,-0.21352496912493457,1
82,GP,15,U,LE3,T,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,5,10,7,6,6,4,E,4,1,2,-1.3292678206913437,-0.042232285573419244,-1.3675507666531237,0.5361849224692801,0
83,GP,15,U,LE3,T,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,4,4,15,15,15,3,B,7,2,2,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.21352496912493457,1
84,GP,15,U,GT3,T,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,4,2,9,10,10,2,C,6,2,1,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.4634282663230061,0
85,GP,15,U,GT3,T,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,5,6,7,9,8,4,D,5,2,4,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,0.03637832807313696,0
86,GP,16,U,LE3,T,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,2,4,8,7,6,4,D,5,2,2,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,-0.21352496912493457,0
87,GP,15,U,GT3,T,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,1,4,13,14,14,3,B,7,2,3,-1.3292678206913437,1.1493214859623315,0.8554227017747934,-0.21352496912493457,0
88,GP,16,U,GT3,T,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,3,12,11,10,10,3,C,6,1,2,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,0.7860882196673515,1
89,GP,16,U,LE3,A,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,5,18,8,6,7,2,D,5,4,4,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,1.5357981112615662,1
90,GP,16,U,GT3,T,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,4,0,7,7,8,3,D,5,2,3,-0.5455950010300283,1.1493214859623315,-0.6265596105104847,-0.7133315635210776,0
91,GP,15,U,GT3,T,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,1,4,16,17,18,5,AB,8,2,4,-1.3292678206913437,-1.23378605710917,1.5964138579174325,-0.21352496912493457,0
92,GP,16,U,LE3,T,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,2,4,7,6,6,3,E,4,2,2,-0.5455950010300283,-0.042232285573419244,-1.3675507666531237,-0.21352496912493457,0
93,GP,16,U,GT3,T,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,1,0,11,10,10,3,C,6,1,3,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,0
94,GP,15,U,LE3,T,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,4,6,11,13,14,4,B,7,1,2,-1.3292678206913437,2.3408752574980825,0.8554227017747934,0.03637832807313696,1
95,GP,15,R,GT3,T,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,7,10,10,2,D,5,1,1,-1.3292678206913437,2.3408752574980825,-0.6265596105104847,-0.4634282663230061,0
96,GP,16,R,GT3,T,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,4,2,11,15,15,3,B,7,1,4,-0.5455950010300283,-1.23378605710917,0.8554227017747934,-0.4634282663230061,1
